101	filler	Die Kinder, die in der Straße wohnen, gingen früh am Nachmittag draußen spielen.	Wurde am Nachmittag gespielt?
102	filler	Peter verlor sein Handy hinter der Scheune, und er war froh, es wieder gefunden zu haben.	Hat Peter seinen Geldbeutel verloren?
103	filler	Keines der Bücher ergab einen Sinn, aber das scheint niemanden zu interessieren.	Hat keines der Bücher Sinn ergeben?
104	filler	Die Karriere des Spielers war von Pech geplagt, was gelegentlich zu Unentschlossenheit führte.	War der Spieler immer entschlossen?
105	filler	Motorräder erzeugen viel Lärm, aber das ist nichts, was wir lösen können.	Erzeugen Motorräder viel Lärm?
106	filler	Der freche Schüler stand in der Ecke, während der Rest der Klasse mit der Aufgabe weitermachte.	Stand der liebe Schüler in der Ecke?
107	filler	Nachdem er darüber nachgedacht hatte, ging der übergewichtige Mann auf Diät und bereute es nicht.	War der Mann übergewichtig?
108	filler	Hannes wurde entlassen, aber hat es seiner Frau nicht erzählt.	Hat Hannes seine Entlassung seiner Frau erzählt?
109	filler	Viktoria bat Lisa zu wiederholen, was sie gesagt hatte, aber Lisa war zurückhaltend.	War Lisa zurückhaltend?
110	filler	Es war ein kalter Tag für Ende April und Andreas trug eine Mütze auf dem Heimweg.	Trug Andreas eine Mütze auf dem Hinweg?
111	filler	Der Richter brauchte mehr Zeit, um die Beweise zu untersuchen.	Brauchte der Richter mehr Zeit?
112	filler	Nachdem Simone mit ihrer Mutter geredet hatte, ging sie zum Friseur.	Redete Simone mit ihrem Vater?
113	filler	Der Blitz wurde sofort von Donner gefolgt, was etwas desorientierend war.	War der Donner desorientierend?
114	filler	Das Internet ist voll mit Informationen, die schwer zu finden sind, aber auch irreführend sein können.	Sind Informationen im Internet einfach zu finden?
115	filler	Das Kind wurde mit einer seltenen Krankheit geboren, die genetisch bedingt ist.	Ist die Krankheit selten?
116	filler	Jan nahm sein Date am Sonntagnachmittag ins Kino.	Nahm Jan sein Date am Samstag ins Kino?
