1	A	Anna schimpfte mit der Köchin der Reichen, die Essen verschwendete.	Wurde Essen verschwendet?
1	B	Anna schimpfte mit der Köchin der Reichen, die Essen verschwendeten.	War Anna glücklich?
1	C	Anna lernte mit der Köchin der Reichen, die Essen verschwendete.	Wurde kein Essen verschwendet?
1	D	Anna lernte mit der Köchin der Reichen, die Essen verschwendeten.	War der Koch eine Frau?
2	A	Jonas bejubelte die Lehrerin der Zweitklässler, die die Klügste der Schule war.	Wurde die Lehrerin bejubelt?
2	B	Jonas bejubelte die Lehrerin der Zweitklässler, die die Klügste der Schule waren.	Waren die Zweitklässler die Klügsten?
2	C	Jonas lebte neben der Lehrerin der Zweitklässler, die die Klügste der Schule war.	War Jonas der Nachbar der Lehrerin?
2	D	Jonas lebte neben der Lehrerin der Zweitklässler, die die Klügste der Schule waren.	Gab es Drittklässler?
3	A	Annabelle applaudierte der Aushilfe der Chefs, die zu spät kam.	Kam jemand zu spät?
3	B	Annabelle applaudierte der Aushilfe der Chefs, die zu spät kamen.	Hat Annabelle den Chefs applaudiert?
3	C	Annabelle scherzte mit der Aushilfe der Chefs, die zu spät kam.	War die Aushilfe pünktlich?
3	D	Annabelle scherzte mit der Aushilfe der Chefs, die zu spät kamen.	Scherzte Annabelle mit der Aushilfe?
4	A	Angela korrigierte die Sekretärin der Anwälte, die einen Fehler machte.	Wurde ein Fehler gemacht?
4	B	Angela korrigierte die Sekretärin der Anwälte, die einen Fehler machten.	Korrigierte Angela die Anwälte?
4	C	Angela tratschte mit der Sekretärin der Anwälte, die einen Fehler machte.	Wurde kein Fehler gemacht?
4	D	Angela tratschte mit der Sekretärin der Anwälte, die einen Fehler machten.	Hat Angela mit jemanden getratscht?
5	A	Bernd tröstete die Anführerin der Aktivisten, die vom Gerichtsurteil enttäuscht war.	Hatte jemand den Namen Bernd?
5	B	Bernd tröstete die Anführerin der Aktivisten, die vom Gerichtsurteil enttäuscht waren.	Gab es ein Gerichtsurteil?
5	C	Bernd grüßte die Anführerin der Aktivisten, die vom Gerichtsurteil enttäuscht war.	Wurde jemand begrüßt?
5	D	Bernd grüßte die Anführerin der Aktivisten, die vom Gerichtsurteil enttäuscht waren.	War jeder zufrieden mit dem Gerichtsurteil?
6	A	Laura beneidet die Managerin der Kassierer, die eine Gehaltserhöhung bekam.	Gab es eine Gehaltserhöhung?
6	B	Laura beneidet die Managerin der Kassierer, die eine Gehaltserhöhung bekamen.	Gab es mehrere Manager?
6	C	Laura kennt die Managerin der Kassierer, die eine Gehaltserhöhung bekam.	Sind Löhne gleichgeblieben?
6	D	Laura kennt die Managerin der Kassierer, die eine Gehaltserhöhung bekamen.	Kennt Laura die Managerin?
7	A	Sascha wertschätzte die Tochter der Vermieter, die viel Geld spendete.	Verachtet Sascha die Tochter?
7	B	Sascha wertschätzte die Tochter der Vermieter, die viel Geld spendeten.	Spendete jemand Geld?
7	C	Sascha erkannte die Tochter der Vermieter, die viel Geld spendete.	Hat Sascha jemanden erkannt?
7	D	Sascha erkannte die Tochter der Vermieter, die viel Geld spendeten.	Wurde kein Geld gespendet?
8	A	Peter fürchtet die Tante der Kleinkinder, die oft Leute anschreit.	Schreit jemand Leute an?
8	B	Peter fürchtet die Tante der Kleinkinder, die oft Leute anschreien.	Fürchtet Peter einen Onkel?
8	C	Peter läuft mit der Tante der Kleinkinder, die oft Leute anschreit.	Werden Leute selten angeschrien?
8	D	Peter läuft mit der Tante der Kleinkinder, die oft Leute anschreien.	Läuft Peter mit der Tante?
9	A	Adam bemerkte die Repräsentantin der Arbeiter, die Sicherheitskleidung trug.	Wurde die Repräsentantin übersehen?
9	B	Adam bemerkte die Repräsentantin der Arbeiter, die Sicherheitskleidung trugen.	Wurde Sicherheitskleidung getragen?
9	C	Adam ähnelte der Repräsentantin der Arbeiter, die Sicherheitskleidung trug.	Ähnelte Peter jemanden?
9	D	Adam ähnelte der Repräsentantin der Arbeiter, die Sicherheitskleidung trugen.	Trugen die Arbeiter normale Kleidung?
10	A	Tina lobte die Gärtner der Millionärin, die eine Sprinkleranlage installierten.	Wurde etwas installiert?
10	B	Tina lobte die Gärtner der Millionärin, die eine Sprinkleranlage installierte.	Gab es nur einen Gärtner?
10	C	Tina traf die Gärtner der Millionärin, die eine Sprinkleranlage installierten.	Wurde nichts installiert?
10	D	Tina traf die Gärtner der Millionärin, die eine Sprinkleranlage installierte.	Hat Tina jemanden getroffen?
11	A	Julian hasst die Cousins der Buchhalterin, die schlechte Witze erzählen.	Mag Julian die Cousins?
11	B	Julian hasst die Cousins der Buchhalterin, die schlechte Witze erzählt.	Erzählt jemand schlechte Witze?
